bank_id,bank_name,home_market,listed_status,period,total_assets_m,customer_loans_m,customer_deposits_m,funding_base_m,funding_base_definition,total_income_m,nii_m,net_profit_m,reported_return_pct,return_metric_type,cet1_ratio_pct,cost_income_ratio_pct,cost_income_definition,cost_of_risk_bps,lcr_pct,npe_ratio_pct,source_name,source_url,data_quality,notes
ABN,ABN AMRO,Netherlands,Listed,FY2025,,,,,,,,,8.7,ROE,15.4,,,1.0,,,ABN AMRO Q4/FY2025 results,https://www.abnamro.com/en/news/abn-amro-posts-net-profit-of-eur-410-million-in-q4-2025,PUBLIC_REPORTED,"FY2025 ROE 8.7%, CET1 15.4%, cost of risk 1 bp."
ING,ING,Netherlands / Europe,Listed,FY2025,1060000.0,727600.0,,,,23000.0,15300.0,6300.0,13.2,ROE,13.1,54.6,ING reported cost/income ratio,,,,ING FY2025 results,https://ing.com/news/press-releases/4qfy2025-ing-press-release.html,PUBLIC_REPORTED,"Total assets EUR 1,060bn; customer lending EUR 727.6bn; commercial NII EUR 15.3bn."
RABO,Rabobank,Netherlands,Cooperative,FY2025,,,,,,,,4957.0,9.1,ROE,20.3,54.5,Rabobank reported cost/income ratio,,,,Rabobank FY2025 results,https://www.rabobank.com/about-us/press/articles/011514168/rabobank-posts-a-net-result-of-eur-4-957-million-in-2025,PUBLIC_REPORTED,"Net result EUR 4,957m, ROE 9.1%, CET1 20.3%, cost/income 54.5%."
DB,Deutsche Bank,Germany / Global,Listed,FY2025,1435067.0,479000.0,692000.0,692000.0,Deposits,32100.0,13700.0,7100.0,10.3,RoTE,14.2,64.0,Deutsche Bank reported cost/income ratio,,144.0,,Deutsche Bank FY2025 results,https://www.db.com/news/detail/20260129-full-year-results-2025?language_id=1,PUBLIC_REPORTED,"Net revenues EUR 32.1bn, net profit EUR 7.1bn, RoTE 10.3%, CET1 14.2%, cost/income 64%, LCR 144%."
CBK,Commerzbank,Germany,Listed,FY2025,590000.0,,,,,12200.0,8226.0,2625.0,8.7,Net RoTE,14.7,57.0,Commerzbank reported cost-income ratio,,,1.1,Commerzbank FY2025 annual results,https://www.commerzbank.de/group/newsroom/press-releases/annual-press-conference.html,PUBLIC_REPORTED,"Total assets EUR 590bn, revenues EUR 12.2bn, net result EUR 2.625bn, Net RoTE 8.7%, CET1 14.7%."
BNP,BNP Paribas,France / Belgium / Europe,Listed,FY2025,2792981.0,897358.0,1075564.0,1075564.0,Customer deposits,51223.0,,12225.0,11.6,RoTE,12.6,61.2,Derived: reported operating expenses / revenues,36.0,,,BNP Paribas FY2025 results,https://invest.bnpparibas/en/document/4q25-pr,PUBLIC_REPORTED_DERIVED,"Assets, loans/deposits, revenue, net income and CET1 are public reported."
SG,Societe Generale,France / Europe,Listed,FY2025,,,,,,27300.0,,6000.0,10.2,RoTE,13.5,63.6,SG reported cost/income ratio,26.0,,,Societe Generale FY2025 results,https://www.societegenerale.com/en/news/press-release/4th-quarter-and-full-year-2025-results,PUBLIC_REPORTED,"Revenue EUR 27.3bn, net income EUR 6.0bn, RoTE 10.2%, CET1 13.5%."
KBC,KBC Group,Belgium / Central Europe,Listed,FY2025,397372.0,208612.0,,288769.0,Customer deposits and debt securities,12200.0,,3568.0,15.0,ROE,14.9,46.0,KBC reported FY cost/income,13.0,159.0,,KBC FY2025 results,https://newsroom.kbc.com/kbc-group-fourth-quarter-result-of-1-003-million-euros,PUBLIC_REPORTED,"Bancassurance group. ROE 15%, CET1 14.9%, LCR 159%, net profit EUR 3.568bn."
